temperature_c,wind_speed_mps,solar_radiation_wm2,battery_level_percent,hour,solar_power_kwh,wind_power_kwh,energy_demand_kwh
-9.2,32.58,194.62,30.98,12,44.24,94.5,91.71
-10.59,28.94,0.0,95.01,0,0.0,90.8,68.29
-26.7,4.55,0.0,48.15,6,0.0,7.61,97.65
-29.35,19.77,101.37,55.69,8,23.18,45.94,116.85
-34.08,30.33,0.0,73.73,23,0.0,87.65,105.81
-25.93,20.01,0.0,46.71,0,3.46,50.49,96.27
-43.22,31.75,390.61,40.34,11,85.52,92.12,174.6
-10.91,33.0,109.91,70.48,7,24.52,99.31,61.92
-43.58,14.78,0.0,22.0,23,5.43,43.37,135.04
-31.84,13.21,313.43,77.66,10,69.47,41.85,129.38
-7.74,32.77,0.0,61.12,18,6.21,96.66,83.73
-15.59,23.63,221.57,68.46,16,46.65,72.1,99.13
-33.74,4.06,94.49,70.55,7,16.4,11.64,129.27
-34.89,1.48,0.0,62.16,2,0.0,8.82,113.36
-44.8,19.76,0.0,66.6,2,0.0,56.31,144.17
-17.17,32.56,0.0,74.7,0,3.62,93.52,90.78
-43.05,29.55,0.0,80.25,4,0.0,101.05,126.9
-23.7,23.65,334.82,78.2,9,71.19,67.67,107.52
-6.52,4.87,0.0,89.57,6,2.87,4.65,66.26
-40.62,8.9,97.36,35.16,8,21.9,23.74,141.49
-9.22,30.64,0.0,52.09,6,0.0,83.93,77.09
-5.34,6.4,82.43,95.82,8,9.99,16.33,79.16
-42.54,9.75,100.84,51.73,7,27.39,33.02,143.22
-9.68,4.54,450.07,29.99,11,101.91,19.5,84.78
-24.36,23.66,0.0,62.04,1,8.22,65.61,87.39
-8.74,33.04,0.0,28.76,0,0.0,84.16,60.0
-22.15,9.41,137.32,36.23,15,24.39,26.94,120.84
-18.52,16.64,0.0,99.87,22,3.98,43.33,63.99
-23.25,22.2,0.0,63.31,22,0.0,63.42,84.68
-10.42,34.98,0.0,42.72,23,2.51,97.22,60.0
-15.64,3.67,0.0,99.58,4,6.48,17.57,69.3
-24.15,17.45,0.0,97.32,2,1.55,50.51,66.83
-10.27,13.48,447.22,55.26,11,99.06,34.5,77.08
-35.19,30.3,97.24,40.83,7,22.31,76.53,120.98
-38.71,16.66,0.0,87.07,21,0.0,46.36,129.24
-38.58,3.88,0.0,77.25,2,4.43,10.6,118.0
-31.64,22.2,0.0,74.96,0,4.69,60.59,101.17
-35.45,26.98,0.0,91.45,2,2.12,80.2,120.98
-7.8,0.1,0.0,75.15,4,0.0,0.0,64.8
-40.77,30.06,297.93,42.7,14,65.06,79.59,162.28
-17.04,6.51,195.0,75.51,13,48.65,18.55,110.45
-37.43,19.32,0.0,44.47,2,0.0,50.74,112.11
-9.73,14.55,0.0,80.74,0,4.74,38.6,60.0
-6.55,25.19,0.0,69.58,4,0.22,70.17,60.0
-26.38,12.99,0.0,26.19,22,2.85,40.49,97.3
-9.84,30.44,448.75,61.03,13,97.08,84.63,99.93
-44.79,25.57,0.0,47.46,6,0.34,59.78,158.71
-12.2,22.67,217.15,46.29,8,49.52,59.86,83.54
-35.85,27.87,246.31,68.18,14,49.86,81.01,154.19
-8.65,26.39,331.86,45.79,14,74.1,78.47,67.57
-44.96,1.26,350.79,82.15,9,66.42,8.44,158.45
-22.75,13.82,229.0,25.66,12,47.97,45.3,117.79
-14.73,32.58,0.0,72.83,18,2.18,91.93,102.99
-34.65,4.4,0.0,84.74,6,4.48,13.9,128.71
-37.27,25.8,99.15,73.83,16,23.7,66.16,152.68
-41.64,34.11,0.0,59.78,19,0.0,82.46,149.15
-31.94,1.83,0.0,96.02,3,4.13,0.0,109.04
-22.61,23.88,0.0,44.0,4,0.0,62.65,103.27
-40.37,16.39,0.0,21.53,22,2.46,37.73,111.64
-29.93,20.27,0.0,54.56,6,0.0,55.0,116.36
-44.64,2.99,173.03,22.64,12,34.97,5.6,178.63
-12.25,1.51,400.07,96.31,14,84.19,9.85,83.21
-39.86,23.34,270.49,36.79,10,60.06,59.54,161.12
-33.67,28.82,0.0,83.11,3,0.0,81.54,106.4
-44.26,27.37,316.76,81.97,12,71.72,74.12,169.64
-27.71,19.03,0.0,37.42,6,0.0,47.24,104.06
-11.4,3.5,0.0,69.7,18,0.0,5.43,91.41
-29.31,24.08,0.0,23.85,21,1.1,55.12,107.18
-37.82,8.47,0.0,58.69,1,0.0,28.21,125.97
-14.85,31.89,277.98,21.17,9,57.62,97.71,99.15
-13.45,29.34,277.63,93.69,12,59.62,80.55,94.63
-38.05,24.83,0.0,98.09,20,0.0,69.7,137.07
-14.17,33.21,0.0,37.78,5,0.0,91.21,70.87
-7.11,1.1,185.31,36.65,11,46.25,0.0,85.74
-38.34,25.77,338.48,80.3,11,81.06,76.39,151.48
-14.16,11.56,0.0,40.27,19,9.0,34.28,92.35
-16.66,31.71,373.63,91.61,10,86.79,71.32,107.7
-26.06,9.33,0.0,65.91,22,0.0,19.92,98.36
-42.68,25.37,0.0,48.06,6,0.0,58.72,137.75
-42.01,30.72,0.0,86.62,0,0.0,95.35,118.88
-10.9,1.46,0.0,59.47,0,7.94,3.06,61.68
-5.39,13.92,0.0,92.93,19,0.0,40.42,60.8
-17.96,26.68,418.62,94.24,12,97.17,72.58,95.87
-27.16,15.92,128.82,33.23,8,33.11,51.19,107.77
-19.1,9.35,0.0,20.19,2,0.76,31.34,91.64
-21.22,7.69,0.0,98.71,6,0.0,20.24,90.75
-29.66,4.6,0.0,92.49,5,0.0,23.19,118.91
-42.37,30.0,59.3,24.44,7,13.63,85.11,144.36
-12.14,20.14,171.43,86.64,8,42.83,47.63,95.28
-30.13,2.67,0.0,56.62,4,0.08,8.08,116.9
-12.25,13.39,0.0,40.72,0,0.0,40.6,60.0
-34.9,12.87,0.0,90.3,18,3.95,35.24,119.53
-44.96,6.36,174.83,35.73,9,37.55,15.34,146.69
-38.64,15.24,405.72,95.78,11,79.08,53.26,148.13
-26.26,11.62,0.0,36.45,23,1.3,25.42,111.3
-7.23,11.96,382.22,69.09,14,86.09,16.91,84.01
-40.91,25.87,0.0,37.85,21,0.0,82.15,136.16
-10.83,7.81,0.0,63.65,23,0.0,14.51,72.66
-23.92,22.47,86.67,74.72,8,21.7,61.2,112.17
-11.96,19.97,0.0,35.22,19,1.33,53.65,80.92
-33.07,19.88,126.74,61.67,16,21.63,63.05,144.46
-11.4,23.21,238.2,57.52,16,57.42,73.6,94.12
-14.09,19.19,0.0,25.68,19,6.83,45.98,84.2
-35.8,30.77,236.77,85.46,11,50.05,94.3,142.58
-39.75,23.65,0.0,46.85,6,0.0,74.25,137.42
-10.28,19.14,0.0,65.97,1,3.08,53.71,67.37
-6.47,29.04,0.0,61.18,2,0.0,86.91,65.1
-43.75,21.22,101.94,61.06,16,24.57,65.61,165.32
-15.75,10.19,0.0,28.58,4,8.81,27.02,81.96
-8.62,7.25,170.34,53.88,16,31.29,19.35,87.85
-10.71,5.33,0.0,56.19,23,0.0,18.46,61.27
-6.42,31.48,231.39,78.69,16,50.13,78.37,84.97
-14.6,24.85,88.06,87.2,16,24.54,67.46,108.36
-27.31,32.81,0.0,63.6,1,14.22,84.67,88.99
-32.52,21.12,0.0,26.94,1,0.99,67.68,95.93
-32.17,16.57,0.0,38.95,21,0.0,44.2,111.51
-16.02,2.09,0.0,33.19,22,0.0,7.51,78.21
-15.17,23.51,0.0,29.97,4,0.0,64.52,81.61
-36.99,20.38,0.0,49.27,0,2.89,55.36,110.08
-10.28,34.66,0.0,38.35,0,1.51,98.31,60.0
-16.4,8.37,0.0,37.46,18,0.0,19.05,90.66
-22.49,18.58,0.0,24.38,1,0.0,50.83,83.93
-26.14,22.78,0.0,21.41,20,0.0,62.55,97.55
-23.27,22.56,426.57,28.22,11,92.89,60.63,114.73
-38.63,19.65,0.0,33.78,5,0.0,57.37,136.92
-36.85,27.19,0.0,54.48,22,0.2,73.45,122.97
-41.35,7.17,0.0,60.84,3,4.94,29.74,132.15
-38.85,25.4,0.0,31.25,22,0.0,74.89,123.9
-26.85,21.69,334.84,53.98,10,71.49,52.64,119.77
-23.79,31.36,0.0,47.34,23,0.0,91.11,87.85
-44.29,29.65,139.75,34.67,16,29.85,78.88,168.16
-13.13,11.03,0.0,20.55,5,1.02,31.7,61.96
-33.23,9.67,0.0,57.36,23,0.0,22.69,124.72
-8.53,34.36,0.0,74.85,4,0.0,83.04,64.64
-6.3,18.45,0.0,38.1,19,4.64,51.53,63.57
-37.58,31.72,0.0,30.54,1,2.59,80.21,125.18
-26.52,5.74,0.0,90.96,5,1.49,18.59,113.12
-44.95,22.5,0.0,42.0,21,2.48,64.05,141.25
-21.07,28.35,153.16,37.89,10,31.4,75.76,111.35
-20.71,33.16,147.16,88.57,15,29.55,103.8,127.1
-35.1,11.81,121.19,85.37,15,31.75,25.63,163.76
-22.66,25.37,0.0,55.87,0,3.31,67.29,86.7
-35.98,18.86,93.61,59.14,8,17.61,46.08,128.55
-38.57,2.12,0.0,37.42,5,0.0,18.18,126.09
-18.94,24.15,338.96,26.26,15,71.67,75.73,119.52
-31.96,24.15,0.0,65.87,2,2.17,59.09,98.68
-21.39,32.57,0.0,27.87,19,0.0,86.24,99.39
-27.67,17.41,0.0,55.94,3,1.32,44.0,101.63
-5.63,8.06,0.0,95.24,18,5.68,19.26,63.66
-39.02,1.56,0.0,96.23,2,0.0,0.0,131.23
-26.42,14.55,0.0,39.15,18,0.94,37.11,122.33
-17.78,10.57,0.0,69.93,19,2.74,35.63,109.19
-29.18,26.64,0.0,57.93,6,0.0,86.27,119.79
-6.01,12.4,0.0,90.05,19,0.0,25.45,60.0
-16.12,33.22,147.62,41.71,8,35.38,86.77,98.37
-18.72,33.68,0.0,20.3,0,0.15,95.59,85.7
-14.72,21.73,51.08,33.0,7,11.72,51.36,94.7
-6.89,32.5,0.0,47.96,6,0.13,92.44,60.0
-8.69,26.63,55.18,45.26,17,16.05,77.8,74.95
-16.03,19.14,62.6,83.31,7,15.51,57.8,80.15
-15.03,6.31,0.0,74.44,0,1.8,20.74,82.52
-39.16,16.05,163.61,43.96,10,40.88,41.73,157.86
-40.89,19.63,117.47,56.62,17,32.27,53.87,146.39
-22.16,30.24,0.0,27.64,22,8.97,77.59,91.04
-44.27,16.85,146.29,91.85,9,29.87,49.97,159.4
-25.71,31.42,0.0,94.83,2,9.88,97.6,85.39
-36.59,23.6,0.0,98.38,6,0.0,68.85,130.13
-31.16,4.79,259.5,89.48,15,64.83,9.24,139.67
-13.97,34.82,278.86,33.92,15,58.81,103.46,115.77
-7.35,18.45,0.0,23.7,19,0.0,65.85,64.92
-42.1,13.72,82.34,66.37,16,18.19,39.87,145.67
-23.63,23.07,0.0,93.01,1,0.0,67.92,79.59
-9.7,3.81,0.0,34.19,0,0.35,14.73,60.0
-41.7,22.28,134.89,20.56,15,26.41,52.76,157.91
-12.02,17.44,230.85,84.44,11,45.85,46.37,87.66
-30.69,14.23,0.0,26.14,4,0.0,36.76,115.37
-32.12,33.36,0.0,53.1,4,6.36,98.42,103.01
-5.9,18.29,0.0,74.31,22,0.0,55.52,60.0
-36.97,7.67,178.73,38.94,8,43.08,20.75,155.99
-17.27,16.06,100.96,26.72,8,18.83,41.52,101.08
-12.14,32.18,0.0,81.6,2,0.0,79.98,66.93
-43.35,6.16,0.0,70.41,18,1.82,17.16,168.89
-18.18,7.49,244.25,99.08,15,60.76,15.24,119.55
-6.94,0.46,321.36,47.54,15,71.54,0.0,89.38
-40.03,0.5,0.0,24.94,2,3.31,6.96,122.19
-9.15,29.03,0.0,78.75,19,5.98,86.22,73.95
-21.21,25.62,0.0,61.74,23,0.0,68.8,84.5
-20.34,12.43,0.0,37.06,21,0.0,25.39,86.54
-20.48,24.44,0.0,82.54,23,1.89,63.48,85.16
-33.05,13.83,0.0,36.3,0,2.6,44.68,112.13
-7.59,33.35,0.0,40.85,23,0.0,96.19,60.0
-7.11,33.85,0.0,27.4,19,1.18,91.95,82.7
-19.99,13.75,369.79,51.95,10,81.35,38.85,113.98
-13.66,29.9,235.26,53.51,16,48.6,71.27,94.68
-20.51,27.06,71.42,61.16,7,15.43,62.86,100.89
-25.62,10.85,0.0,76.72,3,0.0,42.24,102.22
-18.57,8.12,0.0,92.49,5,0.0,25.78,74.12
-22.88,16.04,100.29,31.02,7,22.33,44.92,103.5
-21.1,27.35,0.0,24.35,19,3.61,74.2,90.93
-13.65,33.61,0.0,21.48,2,0.0,83.54,87.9
-25.76,26.73,186.67,31.49,15,37.22,80.8,127.37
-43.37,29.93,0.0,72.64,2,0.0,76.98,122.61
-38.44,21.11,93.48,78.2,17,22.76,63.33,176.36
-27.46,29.24,415.92,82.92,13,98.17,82.66,128.12
-16.01,27.45,81.35,39.5,17,20.98,76.55,96.55
-21.27,13.19,0.0,44.47,1,5.2,29.12,81.7
-18.99,19.32,0.0,58.65,21,0.0,46.36,79.99
-25.83,28.17,0.0,25.05,2,0.0,81.22,95.42
-20.37,1.61,327.58,68.89,15,76.14,4.98,96.72
-31.84,28.28,101.1,98.7,8,16.65,79.47,137.39
-26.19,6.23,0.0,48.86,3,0.0,19.16,87.01
-15.23,18.01,0.0,80.23,0,3.77,38.81,66.8
-10.13,28.29,0.0,60.0,3,1.03,85.3,66.71
-27.65,8.88,0.0,30.22,0,0.0,22.73,95.81
-43.25,8.6,149.25,66.58,13,26.31,31.1,165.84
-38.53,14.1,0.0,43.99,20,5.35,27.43,126.01
-44.17,31.31,246.36,22.75,15,45.99,91.08,183.53
-18.87,0.02,0.0,70.79,19,2.53,3.41,99.77
-31.71,31.55,0.0,88.71,23,0.0,79.42,99.51
-23.3,5.38,41.01,47.58,7,13.21,11.23,106.69
-25.27,34.65,0.0,51.22,6,0.0,90.66,95.71
-41.74,33.42,0.0,91.28,2,10.46,98.76,142.22
-28.87,17.31,108.12,85.09,16,25.4,50.32,131.84
-36.18,17.95,0.0,77.2,0,2.27,59.85,108.4
-28.26,16.85,292.21,39.9,15,61.19,48.4,137.34
-36.86,22.24,451.03,92.82,11,98.69,66.67,148.46
-11.38,3.18,0.0,32.35,18,0.0,15.94,73.39
-38.03,1.14,0.0,70.14,21,7.18,6.52,131.71
-6.57,2.02,0.0,22.3,22,1.6,3.35,60.0
-28.36,15.55,0.0,71.5,21,2.18,40.12,116.49
-11.15,9.64,234.3,42.17,13,53.68,26.51,97.05
-19.85,21.77,0.0,55.97,5,2.51,65.74,89.53
-15.59,34.74,0.0,47.62,5,0.0,92.68,80.58
-14.29,13.52,226.36,33.82,12,58.0,41.77,115.59
-24.81,20.08,0.0,69.76,18,0.0,58.16,110.76
-23.27,14.55,0.0,90.56,21,0.0,33.22,99.95
-24.44,29.65,79.17,96.73,7,23.54,86.64,112.7
-21.48,31.58,0.0,35.39,1,7.74,89.28,86.05
-43.82,30.71,0.0,77.39,20,3.22,82.68,142.96
-29.18,34.1,0.0,73.15,0,0.0,96.24,101.77
-20.75,0.96,179.8,47.47,14,40.07,0.0,116.29
-21.09,29.39,0.0,21.53,0,0.67,83.78,98.69
-13.28,26.31,0.0,75.18,4,0.81,72.66,66.83
-18.8,8.0,224.45,95.64,15,44.46,13.22,103.65
-5.31,33.47,0.0,70.57,18,5.04,92.89,70.29
-33.65,5.19,0.0,54.82,3,0.54,11.88,111.83
-30.63,23.78,0.0,62.01,2,0.0,70.4,105.57
-29.65,7.87,212.85,35.97,16,44.83,27.31,128.3
-26.37,15.1,124.59,80.04,16,28.49,39.23,125.62
-11.56,25.17,427.94,79.71,11,88.54,65.74,96.06
-35.57,19.72,328.46,31.64,13,75.77,45.14,157.5
-13.96,14.96,0.0,90.24,20,0.94,37.0,80.8
-28.79,11.42,0.0,41.54,5,6.26,30.04,109.16
-20.93,29.39,0.0,98.58,2,0.31,74.26,86.79
-19.7,5.03,100.02,50.63,8,17.66,19.44,108.94
-30.09,15.05,0.0,34.23,4,0.0,43.71,99.6
-24.5,31.63,0.0,48.14,23,0.0,87.84,82.29
-28.48,29.6,179.65,55.21,16,38.38,82.78,142.95
-42.23,14.03,275.08,25.54,13,58.25,41.12,170.54
-27.51,26.71,0.0,66.26,20,0.51,78.59,108.11
-41.1,28.81,0.0,67.81,2,0.0,85.52,127.19
-28.8,31.11,0.0,79.11,0,1.02,85.25,96.83
-21.28,19.06,0.0,22.33,19,0.0,52.52,102.51
-21.82,7.16,0.0,63.3,20,2.53,21.09,89.57
-18.5,8.94,0.0,24.23,22,0.0,23.94,88.69
-41.19,10.35,0.0,76.09,0,4.98,34.21,128.63
-18.92,20.78,0.0,24.46,2,2.61,65.55,79.93
-32.51,1.15,88.94,92.94,17,20.34,5.28,127.37
-29.04,22.26,234.87,76.17,9,50.84,56.88,131.08
-10.68,12.75,0.0,60.59,21,0.0,38.75,61.53
-44.64,10.33,0.0,55.32,2,5.65,31.23,129.28
-21.46,30.78,62.2,30.45,7,10.96,80.23,101.91
-21.05,16.1,183.27,43.28,13,40.68,47.38,138.37
-29.13,3.33,0.0,89.52,23,1.38,6.06,103.87
-35.52,28.94,109.28,92.36,17,23.31,85.51,120.59
-35.61,1.67,379.16,20.06,14,88.83,7.68,144.59
-9.65,25.44,0.0,67.53,21,0.0,72.57,71.7
-27.32,27.09,0.0,77.54,22,6.94,76.08,92.35
-31.76,12.34,0.0,69.5,1,2.69,21.75,112.52
-27.05,28.87,187.83,26.53,9,40.34,73.55,123.78
-18.22,18.05,0.0,37.42,1,0.0,49.76,84.01
-39.17,16.22,154.5,40.03,16,25.12,54.53,148.43
-27.02,1.59,79.73,86.54,7,14.15,7.84,108.35
-21.48,10.15,0.0,57.06,0,0.0,39.3,88.39
-7.06,32.59,247.21,58.95,8,55.09,91.75,74.13
-34.9,13.71,371.33,94.79,10,86.73,38.2,142.96
-30.63,19.13,0.0,70.97,21,8.15,62.11,124.94
-29.83,18.62,274.5,91.89,15,61.48,51.18,140.05
-20.78,20.67,0.0,56.52,6,0.82,51.96,79.14
-30.73,2.15,120.69,31.95,9,24.59,7.92,137.0
-23.66,12.68,0.0,94.39,22,0.0,42.24,98.92
-13.73,25.31,0.0,56.7,2,0.0,65.91,76.3
-16.78,7.02,43.08,34.53,17,8.66,23.19,92.4
-27.15,7.13,0.0,44.19,23,3.9,19.4,100.74
-10.43,0.35,181.9,24.06,12,42.1,3.69,95.23
-22.67,15.31,0.0,57.46,6,0.89,44.75,91.55
-23.4,30.9,0.0,88.25,3,0.0,84.03,97.47
-43.63,1.82,209.46,94.69,12,38.15,4.46,165.44
-5.53,6.69,0.0,94.61,19,0.0,16.61,75.39
-40.08,10.85,0.0,30.02,0,0.0,31.09,118.85
-35.75,25.61,108.21,50.56,7,22.64,66.63,120.97
-42.93,22.42,284.74,22.26,13,66.62,59.13,164.51
-19.4,14.56,267.67,88.41,15,62.76,38.28,114.12
-36.01,26.57,340.84,48.7,13,78.16,76.75,146.95
-37.8,21.34,152.4,70.49,11,31.47,51.26,128.23
-41.46,31.36,0.0,77.19,18,4.58,87.17,152.94
-40.87,28.63,0.0,54.39,22,0.0,75.91,134.22
-21.61,8.85,423.25,44.52,14,96.53,22.31,124.43
-17.47,9.5,0.0,96.98,1,0.0,22.64,71.39
-29.1,4.39,0.0,97.16,1,0.0,13.46,96.54
-25.8,11.79,0.0,43.15,22,6.61,32.07,109.55
-17.56,34.98,0.0,58.37,21,0.0,102.21,71.03
-44.3,14.2,0.0,97.83,18,0.0,42.17,154.14
-32.07,7.72,0.0,20.39,21,4.41,12.39,116.69
-6.08,26.69,0.0,53.01,21,4.87,68.97,63.22
-21.8,18.99,111.36,28.04,16,22.77,52.13,116.05
-34.83,5.24,0.0,60.73,19,1.11,14.41,123.25
-24.13,13.32,133.87,21.97,9,30.0,32.07,125.43
-31.29,14.51,0.0,52.55,5,0.0,48.45,113.85
-23.71,26.38,366.82,37.66,14,75.12,79.05,110.2
-39.97,0.72,0.0,62.66,21,3.77,0.0,134.61
-39.69,9.42,320.18,99.68,10,67.11,28.45,157.85
-39.26,18.12,0.0,84.04,4,2.12,50.46,143.33
-7.41,9.41,0.0,87.65,0,1.05,33.81,60.0
-15.68,22.0,68.26,70.82,7,19.88,52.18,76.64
-38.5,16.87,0.0,23.32,20,0.0,59.6,122.47
-37.47,12.66,469.99,36.54,11,104.97,30.39,162.09
-15.77,33.22,391.77,94.01,11,85.93,95.29,97.86
-38.75,22.13,0.0,49.29,4,0.0,58.33,114.13
-35.62,4.55,0.0,28.29,6,0.0,10.48,135.71
-6.47,19.6,0.0,76.19,3,0.91,44.74,60.0
-34.79,27.33,0.0,43.96,5,2.52,83.71,129.11
-18.53,24.8,155.84,41.51,12,34.54,67.82,104.83
-5.85,6.02,0.0,99.84,19,0.38,15.65,78.66
-30.03,34.03,375.56,88.65,14,80.63,109.16,144.43
-44.3,15.71,0.0,52.64,2,0.0,49.74,128.29
-35.23,5.57,0.0,98.42,22,0.0,11.59,105.49
-11.76,6.31,72.53,72.01,7,13.88,14.01,98.31
-10.42,3.44,0.0,79.36,19,2.38,11.19,75.24
-14.26,28.12,122.89,22.52,15,29.86,83.36,94.86
-40.48,4.27,213.43,29.73,12,41.85,22.47,171.53
-13.18,4.38,125.53,70.65,17,24.03,2.62,99.56
-8.25,29.77,326.36,91.92,9,68.96,87.72,90.61
-20.98,12.06,0.0,69.9,18,0.0,39.09,104.03
-7.36,1.08,155.44,30.72,16,27.46,0.0,97.97
-11.93,1.82,0.0,29.26,23,0.0,2.93,60.0
-18.32,4.98,0.0,87.53,18,0.0,4.16,94.55
-21.91,7.47,0.0,31.14,22,1.6,17.91,92.59
-31.06,23.28,0.0,61.62,4,0.0,66.58,118.95
-38.63,5.51,0.0,22.97,20,0.0,24.99,139.62
-20.8,4.16,0.0,26.45,22,0.0,21.77,86.37
-32.28,26.77,248.96,73.79,8,52.98,68.78,125.87
-10.34,23.49,148.63,75.13,11,30.44,74.52,101.72
-5.27,15.24,0.0,47.32,20,6.54,30.98,67.05
